timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,2026.042,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,1.372,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,2088.236,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,1.719,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,2133.982,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,1.407,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,2162.348,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,4.172,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,2162.936,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,1.476,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,2192.429,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,1.859,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,2191.216,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,1.345,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,2184.618,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,1.486,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,2221.489,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,1.382,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,2224.446,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,1.538,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,2232.736,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,1.379,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,2240.164,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,1.851,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,2256.696,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,2.027,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,2237.434,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:55:40Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,1.655,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:55:40Z
